Customer Id,Full Name,Tenure,Country,Segment
DD37Cf93aecA6Dc,Sheryl Baxter,4.86,Chile,Loyal
1Ef7b82A4CAAD10,Preston Lozano,4.2,Djibouti,Loyal
6F94879bDAfE5a6,Roy Berry,5.28,Antigua and Barbuda,Loyal
5Cef8BFA16c5e3c,Linda Olsen,5.09,Dominican Republic,Loyal
053d585Ab6b3159,Joanna Bender,4.21,Slovakia (Slovak Republic),Loyal
2d08FB17EE273F4,Aimee Downs,5.36,Bosnia and Herzegovina,Loyal
EA4d384DfDbBf77,Darren Peck,3.86,Pitcairn Islands,Loyal
0e04AFde9f225dE,Brett Mullen,4.23,Bulgaria,Loyal
C2dE4dEEc489ae0,Sheryl Meyers,5.47,Cyprus,Loyal
8C2811a503C7c5a,Michelle Gallagher,3.65,Timor-Leste,Loyal
216E205d6eBb815,Carl Schroeder,3.7,Guernsey,Loyal
CEDec94deE6d69B,Jenna Dodson,4.59,Vietnam,Loyal
e35426EbDEceaFF,Tracey Mata,3.59,Togo,Loyal
A08A8aF8BE9FaD4,Kristine Cox,4.4,Sri Lanka,Loyal
6fEaA1b7cab7B6C,Faith Lutz,3.44,Singapore,New
8cad0b4CBceaeec,Miranda Beasley,3.23,Oman,New
a5DC21AE3a21eaA,Caroline Foley,4.32,Western Sahara,Loyal
F8Aa9d6DfcBeeF8,Greg Mata,3.27,Mozambique,New
F160f5Db3EfE973,Clifford Jacobson,4.77,South Georgia and the South Sandwich Islands,Loyal
0F60FF3DdCd7aB0,Joanna Kirk,3.78,French Polynesia,Loyal
9F9AdB7B8A6f7F2,Maxwell Frye,3.47,Malta,New
FBd0Ded4F02a742,Kiara Houston,4.8,Netherlands,Loyal
2FB0FAA1d429421,Colleen Howard,4.87,Paraguay,Loyal
010468dAA11382c,Janet Valenzuela,4.82,Lao People's Democratic Republic,Loyal
eC1927Ca84E033e,Shane Wilcox,4.24,Albania,Loyal
09D7D7C8Fe09aea,Marcus Moody,3.11,Panama,New
aBdfcF2c50b0bfD,Dakota Poole,3.37,Belarus,New
b92EBfdF8a3f0E6,Frederick Harper,3.11,Switzerland,New
3B5dAAFA41AFa22,Stefanie Fitzpatrick,4.93,Saint Vincent and the Grenadines,Loyal
EDA69ca7a6e96a2,Kent Bradshaw,5.19,Tanzania,Loyal
64DCcDFaB9DFd4e,Jack Tate,3.8,Zimbabwe,Loyal
679c6c83DD872d6,Tom Trujillo,3.47,Denmark,New
7Ce381e4Afa4ba9,Gabriel Mejia,4.19,Liechtenstein,Loyal
A09AEc6E3bF70eE,Kaitlyn Santana,3.78,United States of America,Loyal
aA9BAFfBc3710fe,Faith Moon,3.67,Bahamas,Loyal
E11dfb2DB8C9f72,Tammie Haley,3.5,Belize,Loyal
889eCf90f68c5Da,Nicholas Sosa,3.9,Uruguay,Loyal
7a1Ee69F4fF4B4D,Jordan Gay,4.36,Solomon Islands,Loyal
dca4f1D0A0fc5c9,Bruce Esparza,3.7,Montenegro,Loyal
17aD8e2dB3df03D,Sherry Garza,3.67,Poland,Loyal
2f79Cd309624Abb,Natalie Gentry,4.73,Dominican Republic,Loyal
6e5ad5a5e2bB5Ca,Bryan Dunn,3.82,Burkina Faso,Loyal
7E441b6B228DBcA,Wayne Simpson,4.56,Bolivia,Loyal
D3fC11A9C235Dc6,Luis Greer,3.14,Bulgaria,New
30Dfa48fe5Ede78,Rhonda Frost,3.58,Monaco,Loyal
fD780ED8dbEae7B,Joanne Montes,5.01,Palau,Loyal
300A40d3ce24bBA,Geoffrey Guzman,5.2,Uzbekistan,Loyal
283DFCD0Dba40aF,Gloria Mccall,3.32,Ghana,New
F4Fc91fEAEad286,Brady Cohen,3.32,United Arab Emirates,New
80F33Fd2AcebF05,Latoya Mccann,3.59,Belarus,Loyal
Aa20BDe68eAb0e9,Gerald Hawkins,4.29,Canada,Loyal
e898eEB1B9FE22b,Samuel Crawford,4.27,Algeria,Loyal
faCEF517ae7D8eB,Patricia Goodwin,4.32,Swaziland,Loyal
c09952De6Cda8aA,Stacie Richard,4.72,Madagascar,Loyal
f3BEf3Be028166f,Robin West,3.47,Ecuador,New
C6F2Fc6a7948a4e,Ralph Haas,5.11,Palestinian Territory,Loyal
